gold;num_bets;price
3194.86;24;12403
3194.86;40;24190
3194.86;10;12608
3194.86;7;12493
3194.86;52;38776
3194.86;47;54443
3145.23;27;13792
3145.23;59;23732
3145.23;43;19495
3145.23;25;13078
3145.23;19;15169
3145.23;11;13078
3145.23;23;12492
3145.23;29;14991
3145.23;34;25600
3145.23;12;13489
3145.23;52;56502
3145.23;23;20000
3113.34;25;21008
3113.34;52;15375
3113.34;16;15375
3113.34;20;15751
3113.34;36;15226
3113.34;65;15198
3113.34;35;15034
3113.34;21;15034
3113.34;22;15034
3113.34;25;15598
3113.34;23;20794
2916.76;116;28700
2916.76;101;26923
2916.76;17;14862
2916.76;49;12503
2916.76;59;12300
2916.76;46;12300
2916.76;76;13248
2916.76;49;12503
2916.76;56;12198
2916.76;27;12816
2916.76;65;22858
2892.77;35;14491
2892.77;47;15226
2892.77;41;14137
2892.77;22;13455
2892.77;23;13427
2892.77;26;13126
2892.77;30;13126
2892.77;21;13126
2892.77;25;13126
2892.77;21;13126
2892.77;19;13126
2892.77;20;13078
2892.77;27;13126
2892.77;9;13014
2892.77;7;13014
2892.77;31;20982
2892.77;19;12805
2892.77;23;13134
2892.77;69;15938
2892.77;27;13463
2892.77;35;57776
2834.84;31;13741
2834.84;7;18450
2834.84;25;24770
2834.84;31;13044
2834.84;18;13319
2834.84;34;12942
2834.84;43;13447
2834.84;26;12779
2834.84;49;13099
2834.84;69;12779
2834.84;16;13431
2834.84;2;15000
2834.84;40;13018
2834.84;14;18450
2862.32;73;14145
2862.32;29;14145
2862.32;19;19236
2862.32;57;18557
2862.32;50;12813
2862.32;17;13463
2862.32;32;13463
2862.32;25;13126
2862.32;33;13741
2862.32;33;12813
2862.32;19;12813
2862.32;20;12813
2862.32;19;14653
2862.32;15;13800
2862.32;46;25599
2909.22;15;13187
2909.22;44;14352
2909.22;43;16150
2909.22;44;13032
2909.22;18;14184
2909.22;39;13315
2909.22;32;12924
2909.22;23;13283
2909.22;14;13283
2909.22;24;13283
2909.22;34;16972
2909.22;30;14235
2909.22;20;14863
2909.22;41;17036
2909.22;8;13199
2840.7;43;17490
2840.7;40;18269
2840.7;31;21274
2840.7;33;38041
2840.7;27;13535
2840.7;54;13447
2840.7;45;13584
2840.7;43;13371
2840.7;51;13044
2840.7;35;13443
2840.7;46;13126
2840.7;41;13741
2840.7;44;13447
2840.7;36;13044
2840.7;38;13126
2840.7;56;13254
2840.7;42;13126
2840.7;19;15077
2840.7;47;22500
2840.7;60;13078
2761.3;23;15456
2761.3;27;13838
2761.3;38;12414
2761.3;32;13519
2761.3;15;13463
2761.3;49;12799
2761.3;42;13078
2761.3;44;13078
2761.3;25;13078
2761.3;26;14424
2761.3;21;13500
2761.3;31;15132
2761.3;43;16549
2761.3;24;35305
2761.3;43;21847
2761.3;22;12709
2761.3;25;12447
2761.3;40;15000
2761.3;41;44900
2743.48;23;14350
2743.48;37;20367
2743.48;39;23692
2743.48;43;13294
2743.48;40;12409
2743.48;27;12601
2743.48;23;11889
2743.48;32;13792
2743.48;35;12274
2743.48;27;12682
2743.48;33;12346
2743.48;17;14711
2743.48;41;26127
2743.48;43;12409
2743.48;41;13216
2743.48;19;17164
2743.48;31;14001
2800.97;15;13138
2800.97;40;61513
2800.97;5;23583
2800.97;33;13438
2800.97;5;22558
2800.97;8;16154
2800.97;55;13138
2800.97;19;12504
2800.97;15;13138
2800.97;18;12504
2800.97;13;12505
2800.97;31;13139
2800.97;19;13139
2800.97;51;12618
2800.97;34;12489
2800.97;35;12500
2800.97;24;15168
2678.47;24;13767
2678.47;40;13767
2678.47;63;68394
2678.47;35;13874
2678.47;38;13103
2678.47;22;12414
2678.47;21;12276
2678.47;29;12414
2678.47;33;12276
2678.47;33;13044
2678.47;32;11845
2678.47;31;15132
2678.47;27;12414
2678.47;19;12646
2678.47;22;13331
2678.47;19;13763
2678.47;21;12492
2678.47;26;12492
2678.47;24;43076
2678.47;46;13199
2678.47;25;14863
2678.47;31;29998
2678.47;39;22072
2678.47;38;13410
2638.46;28;12928
2638.46;17;14697
2638.46;29;14294
2638.46;39;38471
2638.46;28;11815
2638.46;34;11815
2638.46;27;11815
2638.46;28;11869
2638.46;54;11815
2638.46;65;13044
2638.46;29;13257
2638.46;30;11815
2638.46;33;12420
2638.46;23;12447
2638.46;17;12447
2638.46;23;12386
2638.46;13;12386
2638.46;42;12805
2638.46;16;12969
2638.46;27;12386
2638.46;13;12386
2638.46;23;12386
2638.46;25;12447
2638.46;22;12696
2638.46;29;12447
2638.46;29;12800
2638.46;30;12800
2638.46;31;12414
2638.46;29;12663
2638.46;29;12661
2638.46;29;12659
2638.46;21;12657
2638.46;31;12414
2638.46;19;12647
2638.46;35;12447
2638.46;29;12662
2638.46;25;12447
2638.46;27;12663
2638.46;23;12447
2638.46;31;12658
2638.46;20;12656
2638.46;43;12447
2638.46;27;12447
2638.46;31;12662
2638.46;19;12386
2638.46;43;12654
2638.46;35;12447
2638.46;23;12663
2638.46;33;12666
2638.46;21;12662
2638.46;33;12659
2638.46;19;12658
2638.46;23;12666
2638.46;57;12492
2638.46;27;12659
2638.46;31;12447
2638.46;35;12649
2638.46;23;12447
2638.46;35;12447
2638.46;33;12447
2638.46;19;12447
2638.46;28;18887
2638.46;29;21110
2638.46;32;20489
2708.13;38;15226
2708.13;48;15759
2708.13;45;16972
2708.13;47;19513
2708.13;70;25338
2708.13;44;39930
2708.13;44;12924
2708.13;52;12380
2708.13;17;12068
2708.13;96;13334
2708.13;21;13334
2708.13;50;12181
2708.13;16;13308
2708.13;8;12000
2708.13;19;12380
2708.13;63;12486
2708.13;44;14991
2708.13;41;14444
2700.6;25;18862
2700.6;35;31113
2700.6;22;17535
2700.6;9;12924
2700.6;41;12403
2700.6;32;12302
2700.6;35;12302
2700.6;38;12403
2700.6;26;12302
2700.6;23;12302
2700.6;41;17700
2700.6;19;30750
2700.6;39;26499
2700.6;49;12403
2700.6;45;12413
2670.47;16;12471
2670.47;41;19423
2670.47;59;12544
2670.47;31;19460
2670.47;17;38841
2670.47;57;12471
2670.47;41;12981
2670.47;50;12471
2670.47;15;12471
2670.47;15;12471
2670.47;15;12471
2670.47;17;13103
2670.47;9;12924
2670.47;26;12471
2670.47;32;11869
2670.47;37;13431
2670.47;30;12917
2670.47;30;12492
2670.47;14;11869
2670.47;22;12471
2670.47;38;38463
2670.47;15;12187
2670.47;49;12120
2670.47;36;22060
2670.47;37;12884
2670.47;19;12876
2670.47;27;12882
2670.47;43;12887
2670.47;23;12886
2670.47;27;12885
2670.47;35;12884
2670.47;37;12883
2670.47;23;12877
2670.47;33;12887
2670.47;36;13204
2670.47;35;12682
2670.47;37;12884
2670.47;19;12883
2670.47;31;12882
2670.47;27;12887
2670.47;37;12877
2670.47;41;12885
2670.47;25;12884
2670.47;33;12890
2670.47;49;12882
2670.47;49;12887
2670.47;41;12889
2670.47;29;12885
2670.47;23;12884
2670.47;27;12883
2670.47;28;19985
2670.47;47;20485
2670.47;28;23332
2620.2;43;12865
2620.2;32;11889
2620.2;23;12516
2620.2;27;13150
2620.2;25;12370
2620.2;18;11877
2620.2;35;12181
2620.2;22;12244
2620.2;18;11599
2620.2;26;41000
2620.2;44;12299
2620.2;28;11991
2620.2;34;11978
2620.2;26;11815
2620.2;55;22300
2620.2;27;11815
2620.2;41;14863
2620.2;45;12070
2620.2;27;12003
2620.2;39;12108
2620.2;33;12832
2620.2;43;12682
2620.2;31;12830
2620.2;39;12829
2620.2;27;12828
2620.2;31;12827
2620.2;23;12832
2620.2;35;12831
2620.2;23;12830
2620.2;41;12829
2620.2;39;12612
2620.2;27;12827
2620.2;45;12682
2620.2;26;12831
2620.2;61;12830
2620.2;39;12829
2620.2;53;12828
2620.2;59;12827
2620.2;29;12832
2620.2;51;13152
2620.2;25;12622
2620.2;19;12829
2620.2;25;12828
2620.2;33;12827
2620.2;37;12832
2623.51;23;31873
2623.51;42;12447
2623.51;26;11889
2623.51;31;11889
2623.51;27;11344
2623.51;23;16251
2623.51;22;12198
2623.51;32;11344
2623.51;16;12299
2623.51;67;11211
2623.51;21;11145
2623.51;46;12447
2623.51;75;13580
2623.51;19;28169
2623.51;43;11849
2623.51;39;11849
2623.51;55;12197
2623.51;27;13078
2623.51;27;15000
2623.51;23;14711
2623.51;31;12523
2623.51;24;11388
2715.75;19;14901
2715.75;35;14800
2715.75;35;17425
2715.75;32;38000
2715.75;25;16864
2715.75;26;13126
2715.75;42;12413
2715.75;21;12187
2715.75;21;11889
2715.75;11;11889
2715.75;37;12003
2715.75;54;12003
2715.75;45;11815
